,price,price_open,price_high,price_low,change
440,472.03,472.03,472.03,472.03,472.03
441,453.95,453.95,453.95,453.95,453.95
442,449.06,449.06,449.06,449.06,449.06
443,445.03,445.03,445.03,445.03,445.03
444,443.66,443.66,443.66,443.66,443.66
445,437.48,437.48,437.48,437.48,437.48
446,440.81,440.81,440.81,440.81,440.81
447,441.57,441.57,441.57,441.57,441.57
448,435.00,435.00,435.00,435.00,435.00
449,453.51,453.51,453.51,453.51,453.51
450,453.24,453.24,453.24,453.24,453.24
451,453.00,453.00,453.00,453.00,453.00
452,457.89,457.89,457.89,457.89,457.89
453,455.80,455.80,455.80,455.80,455.80
454,455.77,455.77,455.77,455.77,455.77
455,455.00,455.00,455.00,455.00,455.00
456,452.28,452.28,452.28,452.28,452.28
457,450.70,450.70,450.70,450.70,450.70
458,461.56,461.56,461.56,461.56,461.56
459,459.87,459.87,459.87,459.87,459.87
460,460.20,460.20,460.20,460.20,460.20
461,461.18,461.18,461.18,461.18,461.18
462,448.40,448.40,448.40,448.40,448.40
463,447.38,447.38,447.38,447.38,447.38
464,450.39,450.39,450.39,450.39,450.39
465,443.73,443.73,443.73,443.73,443.73
466,451.11,451.11,451.11,451.11,451.11
467,446.60,446.60,446.60,446.60,446.60
468,455.32,455.32,455.32,455.32,455.32
469,450.46,450.46,450.46,450.46,450.46
470,445.09,445.09,445.09,445.09,445.09
471,468.14,468.14,468.14,468.14,468.14
472,461.77,461.77,461.77,461.77,461.77
473,463.01,463.01,463.01,463.01,463.01
474,453.69,453.69,453.69,453.69,453.69
475,447.80,447.80,447.80,447.80,447.80
476,452.03,452.03,452.03,452.03,452.03
477,443.95,443.95,443.95,443.95,443.95
478,437.76,437.76,437.76,437.76,437.76
479,430.04,430.04,430.04,430.04,430.04
480,428.51,428.51,428.51,428.51,428.51
481,432.04,432.04,432.04,432.04,432.04
482,431.48,431.48,431.48,431.48,431.48
483,426.01,426.01,426.01,426.01,426.01
484,424.75,424.75,424.75,424.75,424.75
485,426.59,426.59,426.59,426.59,426.59
486,423.74,423.74,423.74,423.74,423.74
487,421.32,421.32,421.32,421.32,421.32
488,418.47,418.47,418.47,418.47,418.47
489,418.50,418.50,418.50,418.50,418.50
490,422.28,422.28,422.28,422.28,422.28
491,422.57,422.57,422.57,422.57,422.57
492,423.75,423.75,423.75,423.75,423.75
493,420.46,420.46,420.46,420.46,420.46
494,420.60,420.60,420.60,420.60,420.60
495,420.30,420.30,420.30,420.30,420.30
496,417.56,417.56,417.56,417.56,417.56
497,416.02,416.02,416.02,416.02,416.02
498,413.20,413.20,413.20,413.20,413.20
499,415.81,415.81,415.81,415.81,415.81
500,424.06,424.06,424.06,424.06,424.06
501,427.37,427.37,427.37,427.37,427.37
502,416.71,416.71,416.71,416.71,416.71
503,416.00,416.00,416.00,416.00,416.00
504,415.30,415.30,415.30,415.30,415.30
505,418.12,418.12,418.12,418.12,418.12
506,417.69,417.69,417.69,417.69,417.69
507,411.88,411.88,411.88,411.88,411.88
508,411.25,411.25,411.25,411.25,411.25
509,408.41,408.41,408.41,408.41,408.41
510,407.70,407.70,407.70,407.70,407.70
511,418.75,418.75,418.75,418.75,418.75
512,417.28,417.28,417.28,417.28,417.28
513,415.50,415.50,415.50,415.50,415.50
514,415.99,415.99,415.99,415.99,415.99
515,411.82,411.82,411.82,411.82,411.82
516,410.01,410.01,410.01,410.01,410.01
517,420.49,420.49,420.49,420.49,420.49
518,416.51,416.51,416.51,416.51,416.51
519,412.94,412.94,412.94,412.94,412.94
520,411.35,411.35,411.35,411.35,411.35
521,412.70,412.70,412.70,412.70,412.70
522,403.91,403.91,403.91,403.91,403.91
523,397.36,397.36,397.36,397.36,397.36
524,408.82,408.82,408.82,408.82,408.82
525,420.56,420.56,420.56,420.56,420.56
526,422.22,422.22,422.22,422.22,422.22
527,434.82,434.82,434.82,434.82,434.82
528,439.16,439.16,439.16,439.16,439.16
529,434.47,434.47,434.47,434.47,434.47
530,434.21,434.21,434.21,434.21,434.21
531,435.31,435.31,435.31,435.31,435.31
